state,visited
Alabama,2
Alaska,2
Arkansas,
Arizona,2
California,2
Colorado,1
Connecticut,1
Delaware,2
Florida,2
Georgia,2
Hawaii,2
Iowa,3
Idaho,1
Illinois,1
Indiana,3
Kansas,3
Kentucky,3
Louisiana,3
Maine,1
Maryland,1
Massachusetts,1
Michigan,3
Minnesota,1
Missouri,4
Mississippi,4
Montana,2
North Carolina,4
North Dakota,5
Nebraska,5
New Hampshire,2
New Jersey,0
New Mexico,2
Nevada,1
New York,2
Ohio,1
Oklahoma,3
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,3
South Dakota,3
Tennessee,0
Texas,0
Utah,1
Virginia,0
Vermont,0
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,1
